date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-02-18,New York State,3253874.0,4022525.0,2176004.0,5.11,16.73,993790.0,11.19,20.68,75622.0,90449.0,4649.0,0.809
2021-02-19,New York State,3447521.0,4165325.0,2296133.0,5.48,17.72,1066991.0,11.8,21.41,193647.0,104996.0,5397.0,0.828
2021-02-20,New York State,3535997.0,4165325.0,2334012.0,5.74,18.18,1117514.0,12.0,21.41,88476.0,102095.0,5248.0,0.849
2021-02-21,New York State,3621973.0,4171175.0,2369520.0,6.0,18.62,1167934.0,12.18,21.44,85976.0,99541.0,5117.0,0.868
2021-02-22,New York State,3711664.0,4171175.0,2400850.0,6.2,19.08,1205614.0,12.34,21.44,89691.0,99122.0,5095.0,0.89
2021-02-23,New York State,3772702.0,4836200.0,2426155.0,6.38,19.39,1241540.0,12.47,24.86,61038.0,94610.0,4863.0,0.78
2021-02-24,New York State,3821059.0,5349415.0,2449913.0,6.51,19.64,1266482.0,12.59,27.5,48357.0,91830.0,4720.0,0.714
2021-02-25,New York State,3879303.0,5514665.0,2482912.0,6.64,19.94,1291976.0,12.76,28.35,58244.0,89347.0,4593.0,0.703
2021-02-26,New York State,3955191.0,5627205.0,2525442.0,6.82,20.33,1325906.0,12.98,28.93,75888.0,72524.0,3728.0,0.703
2021-02-27,New York State,4060431.0,5757205.0,2588847.0,7.03,20.87,1368488.0,13.31,29.59,105240.0,74919.0,3851.0,0.705
2021-02-28,New York State,4225250.0,5757205.0,2691322.0,7.35,21.72,1430288.0,13.83,29.59,164819.0,86182.0,4430.0,0.734
2021-03-01,New York State,4355544.0,5757205.0,2777745.0,7.58,22.39,1473773.0,14.28,29.59,130294.0,91983.0,4728.0,0.757
2021-03-02,New York State,4495821.0,5987175.0,2880527.0,7.77,23.11,1510765.0,14.81,30.78,140277.0,103303.0,5310.0,0.751
2021-03-03,New York State,4607571.0,6443525.0,2958184.0,7.94,23.68,1544883.0,15.21,33.12,111750.0,112359.0,5776.0,0.715
2021-03-04,New York State,4730809.0,6565865.0,3052380.0,8.09,24.32,1574158.0,15.69,33.75,123238.0,121644.0,6253.0,0.721
2021-03-05,New York State,4864621.0,6849315.0,3155309.0,8.25,25.01,1604606.0,16.22,35.21,133812.0,129919.0,6678.0,0.71
2021-03-06,New York State,5042187.0,7010045.0,3292632.0,8.45,25.92,1644257.0,16.93,36.03,177566.0,140251.0,7210.0,0.719
2021-03-07,New York State,5237597.0,7010045.0,3438817.0,8.7,26.92,1692014.0,17.68,36.03,195410.0,144621.0,7434.0,0.747
2021-03-08,New York State,5416301.0,7010045.0,3569927.0,9.01,27.84,1752004.0,18.35,36.03,178704.0,151537.0,7790.0,0.773
2021-03-09,New York State,5525344.0,7147625.0,3651402.0,9.21,28.4,1792253.0,18.77,36.74,109043.0,147075.0,7560.0,0.773
2021-03-10,New York State,5691711.0,7698785.0,3781666.0,9.48,29.26,1845103.0,19.44,39.58,166367.0,154877.0,7961.0,0.739
2021-03-11,New York State,5840907.0,7894985.0,3892844.0,9.77,30.02,1899848.0,20.01,40.58,149196.0,158585.0,8152.0,0.74
2021-03-12,New York State,5999720.0,8007325.0,4010039.0,10.04,30.84,1954049.0,20.61,41.16,158813.0,162157.0,8336.0,0.749
2021-03-13,New York State,6295058.0,8237955.0,4226184.0,10.53,32.36,2048700.0,21.72,42.35,295338.0,178982.0,9200.0,0.764
2021-03-14,New York State,6295058.0,8237955.0,4226938.0,10.53,32.36,2049086.0,21.73,42.35,0.0,151066.0,7765.0,0.764
2021-03-15,New York State,6443462.0,8237955.0,4323082.0,10.83,33.12,2106643.0,22.22,42.35,148404.0,146737.0,7543.0,0.782
2021-03-16,New York State,6571852.0,8618515.0,4404294.0,11.11,33.78,2160663.0,22.64,44.3,128390.0,149501.0,7685.0,0.763
2021-03-17,New York State,6700442.0,8921845.0,4487772.0,11.37,34.44,2211524.0,23.07,45.86,128590.0,144104.0,7408.0,0.751
2021-03-18,New York State,6853499.0,9246035.0,4598782.0,11.62,35.23,2260668.0,23.64,47.53,153057.0,144656.0,7436.0,0.741
2021-03-19,New York State,7004762.0,9345475.0,4706737.0,11.88,36.01,2310782.0,24.19,48.04,151263.0,143577.0,7380.0,0.75
2021-03-20,New York State,7185757.0,9586045.0,4846355.0,12.12,36.94,2358465.0,24.91,49.28,180995.0,127243.0,6541.0,0.75
2021-03-21,New York State,7371644.0,9586045.0,4980453.0,12.42,37.89,2415638.0,25.6,49.28,185887.0,153798.0,7906.0,0.769
2021-03-22,New York State,7522949.0,9586045.0,5082402.0,12.7,38.67,2469786.0,26.13,49.28,151305.0,154212.0,7927.0,0.785
2021-03-23,New York State,7695283.0,9982845.0,5195034.0,13.01,39.56,2531467.0,26.7,51.32,172334.0,160490.0,8250.0,0.771
2021-03-24,New York State,7836940.0,10217925.0,5288759.0,13.34,40.29,2595344.0,27.19,52.52,141657.0,162357.0,8346.0,0.767
2021-03-25,New York State,7986362.0,10599425.0,5378106.0,13.67,41.05,2659823.0,27.65,54.49,149422.0,161838.0,8319.0,0.753
2021-03-26,New York State,8194278.0,10822735.0,5509579.0,14.11,42.12,2744807.0,28.32,55.63,207916.0,169931.0,8735.0,0.757
2021-03-27,New York State,8435639.0,11109835.0,5654140.0,14.63,43.36,2846185.0,29.06,57.11,241361.0,178555.0,9179.0,0.759
2021-03-28,New York State,8654504.0,11109835.0,5761882.0,15.22,44.49,2960695.0,29.62,57.11,218865.0,183266.0,9421.0,0.779
2021-03-29,New York State,8862843.0,11109835.0,5861761.0,15.79,45.56,3071121.0,30.13,57.11,208339.0,191413.0,9839.0,0.798
2021-03-30,New York State,9023541.0,11600475.0,5935139.0,16.24,46.39,3158458.0,30.51,59.63,160698.0,189751.0,9754.0,0.778
2021-03-31,New York State,9261975.0,11913695.0,6051597.0,16.89,47.61,3285602.0,31.11,61.24,238434.0,203576.0,10465.0,0.777
2021-04-01,New York State,9393484.0,12177725.0,6110874.0,17.28,48.29,3362056.0,31.41,62.6,131509.0,201017.0,10333.0,0.771
2021-04-02,New York State,9914326.0,12458595.0,6285658.0,19.09,50.96,3714514.0,32.31,64.04,520842.0,245721.0,12631.0,0.796
2021-04-03,New York State,10281033.0,12718855.0,6492009.0,20.06,52.85,3901557.0,33.37,65.38,366707.0,263628.0,13552.0,0.808
2021-04-04,New York State,10519517.0,12718855.0,6624421.0,20.69,54.08,4025832.0,34.05,65.38,238484.0,266430.0,13696.0,0.827
2021-04-05,New York State,10640003.0,12718855.0,6691660.0,21.03,54.69,4091857.0,34.4,65.38,120486.0,253880.0,13051.0,0.837
2021-04-06,New York State,10761342.0,13361745.0,6757369.0,21.34,55.32,4151808.0,34.74,68.69,121339.0,248257.0,12762.0,0.805
2021-04-07,New York State,11027009.0,13642425.0,6901208.0,22.06,56.68,4291740.0,35.48,70.13,265667.0,252148.0,12962.0,0.808
2021-04-08,New York State,11243192.0,13891405.0,7034356.0,22.64,57.8,4404749.0,36.16,71.41,216183.0,264244.0,13583.0,0.809
2021-04-09,New York State,11519440.0,14162005.0,7199856.0,23.34,59.22,4541344.0,37.01,72.8,276248.0,229302.0,11787.0,0.813
2021-04-10,New York State,11811282.0,14459595.0,7378953.0,24.14,60.72,4696961.0,37.93,74.33,291842.0,218607.0,11237.0,0.817
2021-04-11,New York State,12062900.0,14459595.0,7527413.0,24.85,62.01,4833937.0,38.69,74.33,251618.0,220483.0,11334.0,0.834
2021-04-12,New York State,12242726.0,14459595.0,7630961.0,25.35,62.93,4931444.0,39.23,74.33,179826.0,228960.0,11770.0,0.847
2021-04-13,New York State,12437468.0,14895945.0,7743155.0,25.89,63.93,5035736.0,39.8,76.57,194742.0,239447.0,12309.0,0.835
2021-04-14,New York State,12633362.0,15145335.0,7856472.0,26.41,64.94,5137853.0,40.39,77.85,195894.0,229479.0,11796.0,0.834
2021-04-15,New York State,12843875.0,15527805.0,7968346.0,26.93,66.02,5238268.0,40.96,79.82,210513.0,228669.0,11755.0,0.827
2021-04-16,New York State,13064837.0,15659135.0,8080703.0,27.49,67.16,5348409.0,41.54,80.49,220962.0,220771.0,11349.0,0.834
2021-04-17,New York State,13277087.0,16098245.0,8184821.0,28.06,68.25,5459423.0,42.07,82.75,212250.0,209401.0,10764.0,0.825
2021-04-18,New York State,13531789.0,16098245.0,8322102.0,28.66,69.56,5576166.0,42.78,82.75,254702.0,209841.0,10787.0,0.841
2021-04-19,New York State,13676604.0,16098245.0,8397791.0,29.02,70.3,5645106.0,43.17,82.75,144815.0,204840.0,10530.0,0.85
2021-04-20,New York State,13829745.0,16288865.0,8475925.0,29.37,71.09,5714340.0,43.57,83.73,153141.0,198897.0,10224.0,0.849
2021-04-21,New York State,14003973.0,16746585.0,8552612.0,29.76,71.99,5789997.0,43.96,86.08,174228.0,195802.0,10065.0,0.836
2021-04-22,New York State,14171716.0,16989215.0,8636314.0,30.2,72.85,5874354.0,44.39,87.33,167743.0,189692.0,9751.0,0.834
2021-04-23,New York State,14374751.0,17275725.0,8724403.0,30.79,73.89,5989190.0,44.85,88.8,203035.0,187131.0,9619.0,0.832
2021-04-24,New York State,14571048.0,17625975.0,8812307.0,31.34,74.9,6096861.0,45.3,90.61,196297.0,184852.0,9502.0,0.827
2021-04-25,New York State,14732987.0,17625975.0,8885577.0,31.8,75.73,6185368.0,45.68,90.61,161939.0,171600.0,8821.0,0.836
2021-04-26,New York State,14856419.0,17625975.0,8938559.0,32.16,76.37,6255867.0,45.95,90.61,123432.0,168545.0,8664.0,0.843
2021-04-27,New York State,14982362.0,17783255.0,8989922.0,32.54,77.02,6330749.0,46.21,91.41,125943.0,164660.0,8464.0,0.842
2021-04-28,New York State,15161999.0,18194675.0,9065115.0,33.08,77.94,6435452.0,46.6,93.53,179637.0,165432.0,8504.0,0.833
2021-04-29,New York State,15410701.0,18561285.0,9170858.0,33.82,79.22,6579272.0,47.14,95.41,248702.0,176998.0,9098.0,0.83
2021-04-30,New York State,15636609.0,18743625.0,9258652.0,34.55,80.38,6721308.0,47.59,96.35,225908.0,180265.0,9266.0,0.834
2021-05-01,New York State,15858599.0,19018995.0,9345352.0,35.27,81.52,6861832.0,48.04,97.77,221990.0,183936.0,9455.0,0.834
2021-05-02,New York State,15980527.0,19018995.0,9394909.0,35.66,82.15,6937401.0,48.29,97.77,121928.0,178220.0,9161.0,0.84
2021-05-03,New York State,16064851.0,19018995.0,9424141.0,35.95,82.58,6993909.0,48.44,97.77,84324.0,172633.0,8874.0,0.845
2021-05-04,New York State,16178509.0,19347575.0,9460031.0,36.36,83.16,7072752.0,48.63,99.46,113658.0,170878.0,8784.0,0.836
2021-05-05,New York State,16353467.0,19545765.0,9520974.0,36.96,84.06,7190369.0,48.94,100.47,174958.0,170210.0,8750.0,0.837
2021-05-06,New York State,16552492.0,19888915.0,9589582.0,37.65,85.09,7324286.0,49.29,102.24,199025.0,163113.0,8385.0,0.832
2021-05-07,New York State,16701431.0,20001845.0,9642901.0,38.18,85.85,7427595.0,49.57,102.82,148939.0,152117.0,7819.0,0.835
2021-05-08,New York State,16866619.0,20122975.0,9694879.0,38.8,86.7,7547538.0,49.84,103.44,165188.0,144003.0,7402.0,0.838
2021-05-09,New York State,17034051.0,20122975.0,9748719.0,39.41,87.56,7666821.0,50.11,103.44,167432.0,150503.0,7737.0,0.846
2021-05-10,New York State,17168705.0,20122975.0,9791125.0,39.92,88.25,7765458.0,50.33,103.44,134654.0,157693.0,8106.0,0.853
2021-05-11,New York State,17273238.0,20351075.0,9824699.0,40.31,88.79,7842123.0,50.5,104.61,104533.0,156390.0,8039.0,0.849
2021-05-12,New York State,17394951.0,20590825.0,9863188.0,40.76,89.42,7929487.0,50.7,105.85,121713.0,148783.0,7648.0,0.845
2021-05-13,New York State,17507860.0,20878375.0,9898395.0,41.18,90.0,8011020.0,50.88,107.32,112909.0,136481.0,7016.0,0.839
2021-05-14,New York State,17632107.0,21037975.0,9943227.0,41.61,90.64,8093911.0,51.11,108.14,124247.0,132954.0,6834.0,0.838
2021-05-15,New York State,17789972.0,21214265.0,10005881.0,42.11,91.45,8192250.0,51.43,109.05,157865.0,131908.0,6781.0,0.839
2021-05-16,New York State,17928006.0,21214365.0,10067820.0,42.52,92.16,8272430.0,51.75,109.05,138034.0,127708.0,6565.0,0.845
2021-05-17,New York State,18012199.0,21214365.0,10107731.0,42.78,92.59,8321690.0,51.96,109.05,84193.0,120499.0,6194.0,0.849
2021-05-18,New York State,18093878.0,21227485.0,10142382.0,43.03,93.01,8370512.0,52.14,109.12,81679.0,117234.0,6026.0,0.852
2021-05-19,New York State,18247671.0,21486425.0,10212130.0,43.44,93.8,8450267.0,52.49,110.45,153793.0,121817.0,6262.0,0.849
2021-05-20,New York State,18395906.0,21776965.0,10270385.0,43.81,94.56,8522398.0,52.79,111.94,148235.0,126864.0,6521.0,0.845
2021-05-21,New York State,18589563.0,21959275.0,10372058.0,44.28,95.56,8613844.0,53.32,112.88,193657.0,136779.0,7031.0,0.847
2021-05-22,New York State,18712921.0,22118775.0,10426932.0,44.62,96.19,8679824.0,53.6,113.7,123358.0,131850.0,6778.0,0.846
2021-05-23,New York State,18851714.0,22118775.0,10495694.0,44.96,96.91,8747146.0,53.95,113.7,138793.0,131958.0,6783.0,0.852
2021-05-24,New York State,18941008.0,22118775.0,10531954.0,45.15,97.37,8783612.0,54.14,113.7,89294.0,132687.0,6821.0,0.856
2021-05-25,New York State,19022539.0,22210785.0,10567466.0,45.36,97.78,8824107.0,54.32,114.17,81531.0,132666.0,6820.0,0.856
2021-05-26,New York State,19137319.0,22323405.0,10619570.0,45.63,98.37,8875904.0,54.59,114.75,114780.0,127093.0,6533.0,0.857
2021-05-27,New York State,19238158.0,22395305.0,10667650.0,45.9,98.89,8928854.0,54.84,115.12,100839.0,120322.0,6185.0,0.859
2021-05-28,New York State,19347252.0,22519715.0,10718237.0,46.18,99.45,8982777.0,55.1,115.76,109094.0,108241.0,5564.0,0.859
2021-05-29,New York State,19479050.0,22653175.0,10777768.0,46.48,100.13,9041431.0,55.4,116.45,131798.0,109447.0,5626.0,0.86
2021-05-30,New York State,19605540.0,22653075.0,10827501.0,46.73,100.78,9091146.0,55.66,116.45,126490.0,107689.0,5536.0,0.865
2021-05-31,New York State,,,,,,,,,50919.0,102207.0,5254.0,
2021-06-01,New York State,19707378.0,22652975.0,10871605.0,47.0,101.3,9143738.0,55.88,116.45,50919.0,97834.0,5029.0,0.87
2021-06-02,New York State,19761096.0,22728725.0,10892343.0,47.18,101.58,9177409.0,55.99,116.84,53718.0,89111.0,4581.0,0.869
2021-06-03,New York State,19800697.0,22859045.0,10910711.0,47.3,101.78,9201500.0,56.09,117.51,39601.0,80363.0,4131.0,0.866
2021-06-04,New York State,19876849.0,22944965.0,10947837.0,47.52,102.18,9243929.0,56.28,117.95,76152.0,75657.0,3889.0,0.866
2021-06-05,New York State,19968418.0,23065285.0,10989411.0,47.8,102.65,9298405.0,56.49,118.57,91569.0,69910.0,3594.0,0.866
2021-06-06,New York State,20014885.0,23065285.0,11012486.0,47.93,102.89,9324668.0,56.61,118.57,46467.0,58478.0,3006.0,0.868
